# Per-company directory built 2026-06-10. 114 distinct companies. 47 potential dup pairs flagged below.
# OPERATOR REVIEW: edit canonical_name/url/domain/business_type as needed. Mark dup pairs by setting same canonical_name for both rows.

raw_name,canonical_name,canonical_url,canonical_domain,business_type,confidence,reasoning
123NET,123NET,https://123.net,123.net,fiber_operator,high,"123NET is a well-known Michigan-based fiber ISP/CLEC headquartered in Southfield, MI, providing fiber internet, colocation, and voice services to businesses across Michigan. Attendee is from MI with Technical Design Manager title — consistent with fiber network design role. Domain 123.net is their c"
123Net,123Net,https://123.net,123.net,fiber_operator,high,"123Net is a Michigan-headquartered (Southfield, MI) fiber network operator and data center company providing fiber broadband, colocation, and voice services across Michigan. Attendee state (MI) and title ""Director of Fiber Engineering"" align with fiber operator classification. Canonical domain is 12"
AECON,Aecon,https://www.aecon.com,aecon.com,ae_firm,high,"Aecon is a major North American construction and infrastructure contractor with a dedicated Utilities division providing turnkey fiber installation, 5G expansion, and legacy network services to telecom carriers. Title ""General Manager Utilities"" aligns with their Aecon Utilities Inc. business unit, "
Aecon Construction Group Inc.,Aecon Group,https://www.aecon.com,aecon.com,ae_firm,high,"Aecon Group is a major publicly-traded Canadian construction and infrastructure company (TSX: ARE) headquartered in Toronto. They provide construction, utility, and infrastructure services including telecom/fiber network construction (aerial and underground fiber installation, conduit, splicing). At"
Agri Valley Communications Inc,Agri-Valley Communications,https://www.avci.net,avci.net,fiber_operator,high,"Agri-Valley Communications, Inc. (AVCI) is a Michigan-based telecommunications parent company headquartered in Pigeon, MI, operating Pigeon Telephone, Thumb Cellular, AVS Broadband (FiberNet fiber-optic + LTE wireless + DSL), and AVS Tech Team. They actively deliver fiber broadband (up to 1 Gbps sym"
Altamaha EMC,Altamaha EMC,https://www.altamahaemc.com,altamahaemc.com,electric_coop_fiber,high,"Altamaha EMC is an electric membership cooperative based in Lyons, Georgia, serving southeast GA. EMC = Electric Membership Cooperative. They have an active fiber-to-the-home broadband program (Altamaha Fiber / Altamaha Broadband) deploying to their electric service territory. Attendance at Fiber Co"
Anthem Broadband,Anthem Broadband,https://anthembroadband.com,anthembroadband.com,fiber_operator,high,"Anthem Broadband is the largest locally-owned ISP in Idaho, serving rural communities across Idaho, Eastern Oregon, Nevada, and Montana with fiber and fiber-fed wireless. Headquartered in Idaho (matches sample state ID). 20,000+ subscribers, 250+ towers. Director of Marketing Development title fits "
Arcadis,Arcadis,https://www.arcadis.com,arcadis.com,ae_firm,high,"Arcadis is a global design, engineering, and consultancy firm headquartered in the Netherlands, with major US operations. They provide A&E services across infrastructure, water, environment, and buildings — including telecom/network design work. The attendee title ""IMS Solution Lead: Networking & Co"
Armstrong,Armstrong,https://armstrongmywire.com,armstrongmywire.com,fiber_operator,high,"Armstrong Group (Armstrong Telecommunications / Armstrong OneWire) is a Butler, PA-headquartered cable/broadband operator serving PA, OH, WV, MD, KY, and NY. PA state + ""Director of OSP Construction"" title at a fiber conference strongly confirms Armstrong's telecom/fiber division. They have been act"
"Armstrong Utilities, Inc",Armstrong,https://armstrongonewire.com,armstrongonewire.com,fiber_operator,high,"Armstrong (headquartered in Butler, PA) is a multi-state cable/broadband operator now deploying fiber under the Armstrong Fiber / ""Zoom Powered by Armstrong"" brand. Attendee in PA with title ""Outside Plant Technology Engineer"" confirms fiber OSP work. Operator-side ISP, not A&E or coop."
Aspire Communications,Aspire Communications,https://aspirecomm.com,aspirecomm.com,fiber_operator,high,"Aspire Communications (Lake Mary, FL) is a telecom infrastructure company that launched its own ISP (Aspire Fiber) in 2024, delivering fiber broadband in Central Florida. They have a dedicated Fiber Connect 2026 exhibitor booth. While they also do construction/engineering services for other carriers"
Aspire Fiber,Aspire Fiber,https://www.aspirefiber.com,aspirefiber.com,fiber_operator,high,"Aspire Fiber is a California-based ISP/CLEC deploying 10 Gbps fiber-to-the-home in Ventura County (Moorpark) and Santa Clarita. Founded 2019 as Aspire Communications (design-build), spun Aspire Fiber as the consumer/business ISP brand. Received $50M from Arenova Capital. Attendee is Founder & CEO ba"
Axon Fiber,Axon Fiber,https://www.axonfiber.com,axonfiber.com,fiber_operator,high,"axonfiber.com is an Illinois-based fiber ISP headquartered at 175 Scott St, Elk Grove Village, IL 60007. Offers residential fiber internet up to 10 Gbps, VOIP, and streaming TV. Matches sample state (IL) and titles (""Co-Founder"" fits a small/early-stage ISP; ""Director of Installations"" fits FTTH dep"
BAM Broadband,BAM Broadband,https://www.bambroadband.com,bambroadband.com,fiber_operator,high,"BAM Broadband is a fiber-optic and fixed wireless ISP serving Colorado (Littleton, Highlands Ranch, Parker, Aurora, Morrison) and Arizona. Locally owned, founded by Jack Koo, formerly DirectLink (CO) and Desert iNET (AZ). Offers symmetrical fiber up to 8 Gbps. CO state match and CDO title at a fiber"
Beacon Broadband,Beacon Broadband,https://beaconbroadband.com,beaconbroadband.com,fiber_operator,high,"Beacon Broadband is an Oregon-based fiber ISP (subsidiary of Central Lincoln PUD/Oregon coastal utility) providing FTTH broadband. Sample state OR matches. Title ""Director of Customer Experience and Growth"" is consistent with a consumer fiber ISP. Attending Fiber Connect 2026 confirms fiber operator"
